# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.791584e+02	8.889742e+01	9.026101e+01	1.363596e+00	6.820565e-01	6.815395e-01	2.584887e-04	-6.817980e-01	8.957921e+01	-4.453774e-19	8.957921e+01	-8.957921e+01
2             	2.511364e+01	1.266566e+01	1.244799e+01	-2.176680e-01	-1.072664e-01	-1.104015e-01	1.567554e-03	1.088340e-01	1.255682e+01	-3.576248e-18	1.255682e+01	-1.255682e+01
3             	2.059142e-01	-1.851057e-01	3.910199e-01	5.761257e-01	2.846779e-01	2.914478e-01	-3.384968e-03	-2.880628e-01	1.029571e-01	-3.337712e-19	1.029571e-01	-1.029571e-01
4             	-1.061374e-01	-1.344050e-01	2.826755e-02	1.626725e-01	7.829144e-02	8.438110e-02	-3.044830e-03	-8.133627e-02	-5.306872e-02	-5.500469e-20	-5.306872e-02	5.306872e-02
5             	1.394108e+00	6.517836e-01	7.423240e-01	9.054040e-02	4.582121e-02	4.471919e-02	5.510137e-04	-4.527020e-02	6.970538e-01	-5.020733e-20	6.970538e-01	-6.970538e-01
6             	2.113338e+00	1.008470e+00	1.104869e+00	9.639860e-02	4.859276e-02	4.780584e-02	3.934635e-04	-4.819930e-02	1.056669e+00	-5.408913e-20	1.056669e+00	-1.056669e+00
7             	2.295752e+00	1.097370e+00	1.198382e+00	1.010118e-01	5.057394e-02	5.043783e-02	6.805475e-05	-5.050589e-02	1.147876e+00	-6.348554e-20	1.147876e+00	-1.147876e+00
8             	2.389421e+00	1.137763e+00	1.251658e+00	1.138958e-01	5.701048e-02	5.688529e-02	6.259536e-05	-5.694789e-02	1.194711e+00	-6.905207e-20	1.194711e+00	-1.194711e+00
9             	2.472756e+00	1.186146e+00	1.286610e+00	1.004639e-01	5.050611e-02	4.995779e-02	2.741573e-04	-5.023195e-02	1.236378e+00	-7.650131e-20	1.236378e+00	-1.236378e+00
10            	2.562111e+00	1.227897e+00	1.334214e+00	1.063175e-01	5.352771e-02	5.278983e-02	3.689418e-04	-5.315877e-02	1.281056e+00	-8.836238e-20	1.281056e+00	-1.281056e+00
11            	2.658690e+00	1.275738e+00	1.382953e+00	1.072154e-01	5.376588e-02	5.344948e-02	1.581997e-04	-5.360768e-02	1.329345e+00	-8.900273e-20	1.329345e+00	-1.329345e+00
12            	2.771496e+00	1.331119e+00	1.440377e+00	1.092582e-01	5.498441e-02	5.427374e-02	3.553333e-04	-5.462908e-02	1.385748e+00	-9.236517e-20	1.385748e+00	-1.385748e+00
13            	2.889614e+00	1.389737e+00	1.499877e+00	1.101404e-01	5.537552e-02	5.476486e-02	3.053312e-04	-5.507019e-02	1.444807e+00	-9.322945e-20	1.444807e+00	-1.444807e+00
14            	3.007215e+00	1.447006e+00	1.560210e+00	1.132042e-01	5.692635e-02	5.627790e-02	3.242237e-04	-5.660212e-02	1.503608e+00	-9.852951e-20	1.503608e+00	-1.503608e+00
15            	3.123464e+00	1.501705e+00	1.621759e+00	1.200537e-01	6.024153e-02	5.981216e-02	2.146842e-04	-6.002684e-02	1.561732e+00	-9.829702e-20	1.561732e+00	-1.561732e+00
16            	3.243638e+00	1.558903e+00	1.684735e+00	1.258314e-01	6.295683e-02	6.287453e-02	4.114782e-05	-6.291568e-02	1.621819e+00	-1.001044e-19	1.621819e+00	-1.621819e+00
17            	3.361929e+00	1.616009e+00	1.745920e+00	1.299103e-01	6.490195e-02	6.500832e-02	-5.318242e-05	-6.495514e-02	1.680965e+00	-1.024328e-19	1.680965e+00	-1.680965e+00
18            	3.477308e+00	1.671917e+00	1.805391e+00	1.334741e-01	6.679336e-02	6.668070e-02	5.633447e-05	-6.673703e-02	1.738654e+00	-1.035880e-19	1.738654e+00	-1.738654e+00
19            	3.588129e+00	1.726486e+00	1.861643e+00	1.351572e-01	6.782550e-02	6.733172e-02	2.468872e-04	-6.757861e-02	1.794064e+00	-1.058520e-19	1.794064e+00	-1.794064e+00
20            	3.691360e+00	1.776890e+00	1.914469e+00	1.375793e-01	6.931118e-02	6.826815e-02	5.215164e-04	-6.878967e-02	1.845680e+00	-1.096861e-19	1.845680e+00	-1.845680e+00
21            	3.789783e+00	1.824457e+00	1.965327e+00	1.408698e-01	7.101278e-02	6.985705e-02	5.778657e-04	-7.043492e-02	1.894892e+00	-1.119193e-19	1.894892e+00	-1.894892e+00
22            	3.882579e+00	1.868960e+00	2.013619e+00	1.446594e-01	7.291276e-02	7.174664e-02	5.830605e-04	-7.232970e-02	1.941289e+00	-1.176069e-19	1.941289e+00	-1.941289e+00
23            	3.971790e+00	1.911773e+00	2.060017e+00	1.482433e-01	7.467227e-02	7.357106e-02	5.506083e-04	-7.412167e-02	1.985895e+00	-1.167831e-19	1.985895e+00	-1.985895e+00
24            	4.059554e+00	1.954100e+00	2.105454e+00	1.513538e-01	7.616682e-02	7.518700e-02	4.899112e-04	-7.567691e-02	2.029777e+00	-1.218107e-19	2.029777e+00	-2.029777e+00
25            	4.146097e+00	1.996126e+00	2.149971e+00	1.538450e-01	7.733587e-02	7.650911e-02	4.133806e-04	-7.692249e-02	2.073048e+00	-1.266045e-19	2.073048e+00	-2.073048e+00
26            	4.230945e+00	2.037863e+00	2.193082e+00	1.552198e-01	7.790375e-02	7.731601e-02	2.938704e-04	-7.760988e-02	2.115472e+00	-1.286712e-19	2.115472e+00	-2.115472e+00
27            	4.315065e+00	2.080500e+00	2.234566e+00	1.540658e-01	7.724310e-02	7.682274e-02	2.101821e-04	-7.703292e-02	2.157533e+00	-1.296625e-19	2.157533e+00	-2.157533e+00
28            	4.398176e+00	2.123628e+00	2.274548e+00	1.509204e-01	7.561887e-02	7.530157e-02	1.586486e-04	-7.546022e-02	2.199088e+00	-1.283328e-19	2.199088e+00	-2.199088e+00
29            	4.478998e+00	2.166220e+00	2.312778e+00	1.465580e-01	7.340274e-02	7.315531e-02	1.237172e-04	-7.327902e-02	2.239499e+00	-1.284550e-19	2.239499e+00	-2.239499e+00
30            	4.556066e+00	2.207515e+00	2.348551e+00	1.410357e-01	7.061364e-02	7.042207e-02	9.578036e-05	-7.051786e-02	2.278033e+00	-1.293790e-19	2.278033e+00	-2.278033e+00
31            	4.627831e+00	2.246836e+00	2.380995e+00	1.341595e-01	6.714854e-02	6.701101e-02	6.876272e-05	-6.707977e-02	2.313916e+00	-1.309981e-19	2.313916e+00	-2.313916e+00
32            	4.693379e+00	2.283819e+00	2.409561e+00	1.257417e-01	6.292508e-02	6.281657e-02	5.425617e-05	-6.287083e-02	2.346690e+00	-1.333367e-19	2.346690e+00	-2.346690e+00
33            	4.753162e+00	2.318061e+00	2.435101e+00	1.170397e-01	5.858265e-02	5.845701e-02	6.282148e-05	-5.851983e-02	2.376581e+00	-1.359161e-19	2.376581e+00	-2.376581e+00
34            	4.807256e+00	2.348968e+00	2.458288e+00	1.093201e-01	5.475885e-02	5.456122e-02	9.881595e-05	-5.466003e-02	2.403628e+00	-1.388837e-19	2.403628e+00	-2.403628e+00
35            	4.857179e+00	2.376900e+00	2.480280e+00	1.033800e-01	5.184725e-02	5.153275e-02	1.572510e-04	-5.169000e-02	2.428590e+00	-1.411888e-19	2.428590e+00	-2.428590e+00
36            	4.904383e+00	2.402723e+00	2.501660e+00	9.893786e-02	4.969080e-02	4.924706e-02	2.218719e-04	-4.946893e-02	2.452192e+00	-1.425673e-19	2.452192e+00	-2.452192e+00
37            	4.950137e+00	2.427587e+00	2.522550e+00	9.496261e-02	4.775974e-02	4.720287e-02	2.784365e-04	-4.748131e-02	2.475068e+00	-1.444736e-19	2.475068e+00	-2.475068e+00
38            	4.995899e+00	2.452180e+00	2.543719e+00	9.153854e-02	4.608683e-02	4.545171e-02	3.175585e-04	-4.576927e-02	2.497949e+00	-1.462453e-19	2.497949e+00	-2.497949e+00
39            	5.042342e+00	2.476892e+00	2.565450e+00	8.855814e-02	4.461397e-02	4.394417e-02	3.348977e-04	-4.427907e-02	2.521171e+00	-1.481580e-19	2.521171e+00	-2.521171e+00
40            	5.089800e+00	2.501987e+00	2.587813e+00	8.582597e-02	4.324669e-02	4.257928e-02	3.337053e-04	-4.291299e-02	2.544900e+00	-1.495665e-19	2.544900e+00	-2.544900e+00
41            	5.138542e+00	2.527787e+00	2.610755e+00	8.296745e-02	4.180419e-02	4.116326e-02	3.204678e-04	-4.148373e-02	2.569271e+00	-1.507653e-19	2.569271e+00	-2.569271e+00
42            	5.188278e+00	2.554456e+00	2.633822e+00	7.936551e-02	3.998496e-02	3.938055e-02	3.022062e-04	-3.968276e-02	2.594139e+00	-1.525081e-19	2.594139e+00	-2.594139e+00
43            	5.238496e+00	2.581742e+00	2.656754e+00	7.501222e-02	3.779157e-02	3.722065e-02	2.854617e-04	-3.750611e-02	2.619248e+00	-1.541362e-19	2.619248e+00	-2.619248e+00
44            	5.288711e+00	2.609338e+00	2.679374e+00	7.003570e-02	3.529178e-02	3.474393e-02	2.739248e-04	-3.501785e-02	2.644356e+00	-1.556375e-19	2.644356e+00	-2.644356e+00
45            	5.338575e+00	2.637035e+00	2.701540e+00	6.450524e-02	3.252428e-02	3.198096e-02	2.716575e-04	-3.225262e-02	2.669287e+00	-1.570512e-19	2.669287e+00	-2.669287e+00
46            	5.387832e+00	2.664402e+00	2.723431e+00	5.902911e-02	2.979390e-02	2.923521e-02	2.793454e-04	-2.951455e-02	2.693916e+00	-1.583702e-19	2.693916e+00	-2.693916e+00
47            	5.436515e+00	2.691226e+00	2.745289e+00	5.406331e-02	2.732610e-02	2.673722e-02	2.944401e-04	-2.703166e-02	2.718258e+00	-1.597268e-19	2.718258e+00	-2.718258e+00
48            	5.484898e+00	2.717643e+00	2.767255e+00	4.961231e-02	2.511912e-02	2.449319e-02	3.129640e-04	-2.480615e-02	2.742449e+00	-1.616701e-19	2.742449e+00	-2.742449e+00
49            	5.533289e+00	2.743798e+00	2.789491e+00	4.569287e-02	2.317727e-02	2.251559e-02	3.308397e-04	-2.284643e-02	2.766644e+00	-1.633379e-19	2.766644e+00	-2.766644e+00
50            	5.582023e+00	2.769966e+00	2.812057e+00	4.209186e-02	2.139007e-02	2.070180e-02	3.441360e-04	-2.104593e-02	2.791011e+00	-1.647318e-19	2.791011e+00	-2.791011e+00
51            	5.631408e+00	2.796367e+00	2.835041e+00	3.867356e-02	1.968777e-02	1.898579e-02	3.509904e-04	-1.933678e-02	2.815704e+00	-1.659505e-19	2.815704e+00	-2.815704e+00
52            	5.681750e+00	2.823245e+00	2.858505e+00	3.526023e-02	1.798153e-02	1.727870e-02	3.514175e-04	-1.763011e-02	2.840875e+00	-1.670258e-19	2.840875e+00	-2.840875e+00
53            	5.733226e+00	2.850736e+00	2.882490e+00	3.175356e-02	1.622317e-02	1.553039e-02	3.463912e-04	-1.587678e-02	2.866613e+00	-1.680187e-19	2.866613e+00	-2.866613e+00
54            	5.785649e+00	2.878794e+00	2.906854e+00	2.806018e-02	1.436859e-02	1.369159e-02	3.385016e-04	-1.403009e-02	2.892824e+00	-1.689757e-19	2.892824e+00	-2.892824e+00
55            	5.839132e+00	2.907525e+00	2.931607e+00	2.408192e-02	1.237121e-02	1.171070e-02	3.302533e-04	-1.204096e-02	2.919566e+00	-1.699408e-19	2.919566e+00	-2.919566e+00
56            	5.893480e+00	2.936699e+00	2.956781e+00	2.008127e-02	1.036419e-02	9.717078e-03	3.235579e-04	-1.004064e-02	2.946740e+00	-1.709265e-19	2.946740e+00	-2.946740e+00
57            	5.948592e+00	2.966205e+00	2.982387e+00	1.618131e-02	8.409564e-03	7.771742e-03	3.189114e-04	-8.090653e-03	2.974296e+00	-1.719175e-19	2.974296e+00	-2.974296e+00
58            	6.004328e+00	2.995915e+00	3.008412e+00	1.249722e-02	6.565377e-03	5.931839e-03	3.167691e-04	-6.248608e-03	3.002164e+00	-1.729195e-19	3.002164e+00	-3.002164e+00
59            	6.060699e+00	3.025758e+00	3.034941e+00	9.182374e-03	4.908127e-03	4.274247e-03	3.169404e-04	-4.591187e-03	3.030349e+00	-1.739120e-19	3.030349e+00	-3.030349e+00
60            	6.117669e+00	3.055644e+00	3.062025e+00	6.380589e-03	3.508735e-03	2.871854e-03	3.184409e-04	-3.190294e-03	3.058834e+00	-1.748750e-19	3.058834e+00	-3.058834e+00
61            	6.175367e+00	3.085692e+00	3.089674e+00	3.982083e-03	2.311334e-03	1.670750e-03	3.202919e-04	-1.991042e-03	3.087683e+00	-1.758159e-19	3.087683e+00	-3.087683e+00
62            	6.233840e+00	3.115937e+00	3.117903e+00	1.966782e-03	1.304899e-03	6.618830e-04	3.215079e-04	-9.833909e-04	3.116920e+00	-1.767171e-19	3.116920e+00	-3.116920e+00
63            	6.293104e+00	3.146428e+00	3.146676e+00	2.478273e-04	4.451570e-04	-1.973297e-04	3.212433e-04	-1.239137e-04	3.146552e+00	-1.776080e-19	3.146552e+00	-3.146552e+00
64            	6.353384e+00	3.177301e+00	3.176084e+00	-1.217009e-03	-2.897935e-04	-9.272153e-04	3.187109e-04	6.085044e-04	3.176692e+00	-1.784662e-19	3.176692e+00	-3.176692e+00
65            	6.414663e+00	3.208619e+00	3.206044e+00	-2.574925e-03	-9.731051e-04	-1.601820e-03	3.143574e-04	1.287462e-03	3.207331e+00	-1.793209e-19	3.207331e+00	-3.207331e+00
66            	6.476935e+00	3.240338e+00	3.236597e+00	-3.740766e-03	-1.561621e-03	-2.179144e-03	3.087614e-04	1.870383e-03	3.238467e+00	-1.801650e-19	3.238467e+00	-3.238467e+00
67            	6.540115e+00	3.272474e+00	3.267641e+00	-4.833493e-03	-2.115359e-03	-2.718134e-03	3.013874e-04	2.416747e-03	3.270057e+00	-1.810261e-19	3.270057e+00	-3.270057e+00
68            	6.604286e+00	3.305048e+00	3.299238e+00	-5.809320e-03	-2.611652e-03	-3.197668e-03	2.930083e-04	2.904660e-03	3.302143e+00	-1.818779e-19	3.302143e+00	-3.302143e+00
69            	6.669323e+00	3.337974e+00	3.331350e+00	-6.624015e-03	-3.027599e-03	-3.596416e-03	2.844085e-04	3.312008e-03	3.334662e+00	-1.827341e-19	3.334662e+00	-3.334662e+00
70            	6.735202e+00	3.371152e+00	3.364050e+00	-7.101166e-03	-3.275854e-03	-3.825312e-03	2.747289e-04	3.550583e-03	3.367601e+00	-1.836121e-19	3.367601e+00	-3.367601e+00
71            	6.801887e+00	3.404599e+00	3.397287e+00	-7.311885e-03	-3.391540e-03	-3.920345e-03	2.644023e-04	3.655943e-03	3.400943e+00	-1.845379e-19	3.400943e+00	-3.400943e+00
72            	6.869466e+00	3.438303e+00	3.431163e+00	-7.139905e-03	-3.316931e-03	-3.822974e-03	2.530218e-04	3.569953e-03	3.434733e+00	-1.853656e-19	3.434733e+00	-3.434733e+00
73            	6.937828e+00	3.472264e+00	3.465564e+00	-6.699928e-03	-3.109208e-03	-3.590720e-03	2.407557e-04	3.349964e-03	3.468914e+00	-1.861327e-19	3.468914e+00	-3.468914e+00
74            	7.007086e+00	3.506572e+00	3.500514e+00	-6.057599e-03	-2.801671e-03	-3.255928e-03	2.271286e-04	3.028799e-03	3.503543e+00	-1.868972e-19	3.503543e+00	-3.503543e+00
75            	7.077283e+00	3.541252e+00	3.536031e+00	-5.220650e-03	-2.397783e-03	-2.822867e-03	2.125421e-04	2.610325e-03	3.538641e+00	-1.876739e-19	3.538641e+00	-3.538641e+00
76            	7.148373e+00	3.576374e+00	3.571999e+00	-4.374898e-03	-1.990945e-03	-2.383953e-03	1.965043e-04	2.187449e-03	3.574186e+00	-1.885820e-19	3.574186e+00	-3.574186e+00
77            	7.220323e+00	3.611883e+00	3.608440e+00	-3.442704e-03	-1.541529e-03	-1.901175e-03	1.798229e-04	1.721352e-03	3.610161e+00	-1.895215e-19	3.610161e+00	-3.610161e+00
78            	7.293225e+00	3.647821e+00	3.645403e+00	-2.418333e-03	-1.046872e-03	-1.371461e-03	1.622943e-04	1.209167e-03	3.646612e+00	-1.904599e-19	3.646612e+00	-3.646612e+00
79            	7.366969e+00	3.684132e+00	3.682837e+00	-1.295092e-03	-5.035599e-04	-7.915320e-04	1.439860e-04	6.475459e-04	3.683484e+00	-1.914361e-19	3.683484e+00	-3.683484e+00
80            	7.441536e+00	3.720805e+00	3.720731e+00	-7.412112e-05	8.808752e-05	-1.622086e-04	1.251481e-04	3.706056e-05	3.720768e+00	-1.924105e-19	3.720768e+00	-3.720768e+00
81            	7.516988e+00	3.757888e+00	3.759099e+00	1.210818e-03	7.119313e-04	4.988864e-04	1.065225e-04	-6.054088e-04	3.758494e+00	-1.933973e-19	3.758494e+00	-3.758494e+00
82            	7.593208e+00	3.795318e+00	3.797890e+00	2.572108e-03	1.374228e-03	1.197879e-03	8.817446e-05	-1.286054e-03	3.796604e+00	-1.943882e-19	3.796604e+00	-3.796604e+00
