# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.658136e-03	8.194349e-04	8.387011e-04	1.926615e-05	9.619163e-06	9.646985e-06	-1.391132e-08	-9.633074e-06	8.290680e-04	-5.682118e-22	8.290680e-04	-8.290680e-04
2             	1.167704e-03	5.910340e-04	5.766695e-04	-1.436450e-05	-7.392159e-06	-6.972344e-06	-2.099073e-07	7.182252e-06	5.838518e-04	2.027758e-22	5.838518e-04	-5.838518e-04
3             	1.385809e-03	7.061244e-04	6.796844e-04	-2.644001e-05	-1.319230e-05	-1.324771e-05	2.770411e-08	1.322001e-05	6.929044e-04	1.036560e-23	6.929044e-04	-6.929044e-04
4             	1.512041e-03	7.764044e-04	7.356363e-04	-4.076819e-05	-2.028527e-05	-2.048291e-05	9.882162e-08	2.038409e-05	7.560204e-04	-1.999291e-23	7.560204e-04	-7.560204e-04
5             	1.644899e-03	8.472857e-04	7.976138e-04	-4.967186e-05	-2.462702e-05	-2.504484e-05	2.089112e-07	2.483593e-05	8.224497e-04	-3.659418e-23	8.224497e-04	-8.224497e-04
6             	1.727595e-03	8.898763e-04	8.377185e-04	-5.215780e-05	-2.576868e-05	-2.638911e-05	3.102155e-07	2.607890e-05	8.637974e-04	-4.620838e-23	8.637974e-04	-8.637974e-04
7             	1.761355e-03	9.051454e-04	8.562096e-04	-4.893578e-05	-2.406920e-05	-2.486658e-05	3.986862e-07	2.446789e-05	8.806775e-04	-5.459907e-23	8.806775e-04	-8.806775e-04
8             	1.761893e-03	9.018590e-04	8.600340e-04	-4.182500e-05	-2.044304e-05	-2.138196e-05	4.694605e-07	2.091250e-05	8.809465e-04	-6.111048e-23	8.809465e-04	-8.809465e-04
9             	1.744761e-03	8.876296e-04	8.571310e-04	-3.049865e-05	-1.475213e-05	-1.574652e-05	4.971951e-07	1.524932e-05	8.723803e-04	-6.402214e-23	8.723803e-04	-8.723803e-04
10            	1.721259e-03	8.699353e-04	8.513233e-04	-1.861200e-05	-8.876427e-06	-9.735573e-06	4.295729e-07	9.306000e-06	8.606293e-04	-6.475565e-23	8.606293e-04	-8.606293e-04
11            	1.700032e-03	8.515943e-04	8.484374e-04	-3.156873e-06	-1.233391e-06	-1.923481e-06	3.450448e-07	1.578436e-06	8.500158e-04	-6.593723e-23	8.500158e-04	-8.500158e-04
12            	1.685423e-03	8.375489e-04	8.478746e-04	1.032571e-05	5.396647e-06	4.929061e-06	2.337931e-07	-5.162854e-06	8.427117e-04	-6.756408e-23	8.427117e-04	-8.427117e-04
13            	1.680411e-03	8.273757e-04	8.530351e-04	2.565936e-05	1.296256e-05	1.269681e-05	1.328761e-07	-1.282968e-05	8.402054e-04	-6.769325e-23	8.402054e-04	-8.402054e-04
14            	1.685486e-03	8.233116e-04	8.621741e-04	3.886250e-05	1.947586e-05	1.938663e-05	4.461583e-08	-1.943125e-05	8.427428e-04	-6.713532e-23	8.427428e-04	-8.427428e-04
15            	1.700228e-03	8.238582e-04	8.763699e-04	5.251177e-05	2.622285e-05	2.628892e-05	-3.303316e-08	-2.625589e-05	8.501141e-04	-6.670960e-23	8.501141e-04	-8.501141e-04
16            	1.722487e-03	8.280543e-04	8.944328e-04	6.637854e-05	3.308469e-05	3.329386e-05	-1.045849e-07	-3.318927e-05	8.612436e-04	-6.576169e-23	8.612436e-04	-8.612436e-04
17            	1.750325e-03	8.346469e-04	9.156783e-04	8.103141e-05	4.036550e-05	4.066591e-05	-1.502068e-07	-4.051571e-05	8.751626e-04	-6.544226e-23	8.751626e-04	-8.751626e-04
18            	1.781353e-03	8.420567e-04	9.392965e-04	9.723973e-05	4.843757e-05	4.880215e-05	-1.822898e-07	-4.861986e-05	8.906766e-04	-6.397575e-23	8.906766e-04	-8.906766e-04
19            	1.813139e-03	8.493341e-04	9.638047e-04	1.144706e-04	5.705967e-05	5.741093e-05	-1.756334e-07	-5.723530e-05	9.065694e-04	-6.258111e-23	9.065694e-04	-9.065694e-04
20            	1.844077e-03	8.557890e-04	9.882876e-04	1.324986e-04	6.611716e-05	6.638140e-05	-1.321221e-07	-6.624928e-05	9.220383e-04	-6.055033e-23	9.220383e-04	-9.220383e-04
21            	1.871910e-03	8.609629e-04	1.010947e-03	1.499836e-04	7.491953e-05	7.506412e-05	-7.229566e-08	-7.499182e-05	9.359548e-04	-5.878187e-23	9.359548e-04	-9.359548e-04
22            	1.894927e-03	8.637154e-04	1.031212e-03	1.674967e-04	8.374927e-05	8.374742e-05	9.227402e-10	-8.374834e-05	9.474637e-04	-5.687417e-23	9.474637e-04	-9.474637e-04
23            	1.911877e-03	8.631917e-04	1.048685e-03	1.854938e-04	9.279663e-05	9.269716e-05	4.973716e-08	-9.274690e-05	9.559386e-04	-5.577197e-23	9.559386e-04	-9.559386e-04
24            	1.922232e-03	8.589258e-04	1.063306e-03	2.043806e-04	1.022781e-04	1.021025e-04	8.777141e-08	-1.021903e-04	9.611161e-04	-5.515153e-23	9.611161e-04	-9.611161e-04
25            	1.925923e-03	8.509511e-04	1.074972e-03	2.240209e-04	1.121251e-04	1.118958e-04	1.146310e-07	-1.120104e-04	9.629615e-04	-5.418489e-23	9.629615e-04	-9.629615e-04
26            	1.923277e-03	8.401525e-04	1.083124e-03	2.429715e-04	1.216227e-04	1.213488e-04	1.369278e-07	-1.214857e-04	9.616383e-04	-5.285978e-23	9.616383e-04	-9.616383e-04
27            	1.916109e-03	8.278043e-04	1.088305e-03	2.605006e-04	1.304020e-04	1.300986e-04	1.517206e-07	-1.302503e-04	9.580547e-04	-5.131620e-23	9.580547e-04	-9.580547e-04
