# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
1             	1.533444e-04	7.578781e-05	7.755661e-05	1.768801e-06	8.908869e-07	8.779136e-07	6.486677e-09	-8.844003e-07	7.667221e-05	-7.980452e-23	7.667221e-05	-7.667221e-05
2             	6.944777e-04	3.517933e-04	3.426844e-04	-9.108936e-06	-4.600435e-06	-4.508501e-06	-4.596685e-08	4.554468e-06	3.472388e-04	2.774083e-23	3.472388e-04	-3.472388e-04
3             	1.223587e-03	6.221403e-04	6.014466e-04	-2.069367e-05	-1.038148e-05	-1.031218e-05	-3.464997e-08	1.034683e-05	6.117935e-04	-8.687812e-24	6.117935e-04	-6.117935e-04
4             	1.483265e-03	7.576330e-04	7.256317e-04	-3.200132e-05	-1.598630e-05	-1.601503e-05	1.436485e-08	1.600066e-05	7.416324e-04	-2.508990e-23	7.416324e-04	-7.416324e-04
5             	1.616913e-03	8.263608e-04	7.905518e-04	-3.580904e-05	-1.781228e-05	-1.799676e-05	9.223825e-08	1.790452e-05	8.084563e-04	-4.048276e-23	8.084563e-04	-8.084563e-04
6             	1.654851e-03	8.433568e-04	8.114940e-04	-3.186279e-05	-1.577966e-05	-1.608313e-05	1.517355e-07	1.593139e-05	8.274254e-04	-5.178231e-23	8.274254e-04	-8.274254e-04
7             	1.629503e-03	8.257322e-04	8.037706e-04	-2.196160e-05	-1.079455e-05	-1.116706e-05	1.862565e-07	1.098080e-05	8.147514e-04	-5.843942e-23	8.147514e-04	-8.147514e-04
8             	1.574050e-03	7.910348e-04	7.830151e-04	-8.019705e-06	-3.881507e-06	-4.138198e-06	1.283454e-07	4.009853e-06	7.870250e-04	-6.106758e-23	7.870250e-04	-7.870250e-04
9             	1.515978e-03	7.537311e-04	7.622469e-04	8.515787e-06	4.317741e-06	4.198046e-06	5.984764e-08	-4.257894e-06	7.579890e-04	-6.281707e-23	7.579890e-04	-7.579890e-04
10            	1.472796e-03	7.243141e-04	7.484816e-04	2.416746e-05	1.209625e-05	1.207122e-05	1.251569e-08	-1.208373e-05	7.363978e-04	-6.291239e-23	7.363978e-04	-7.363978e-04
11            	1.454339e-03	7.079902e-04	7.463485e-04	3.835833e-05	1.917533e-05	1.918300e-05	-3.833838e-09	-1.917916e-05	7.271693e-04	-6.197998e-23	7.271693e-04	-7.271693e-04
12            	1.462824e-03	7.062607e-04	7.565637e-04	5.030301e-05	2.514194e-05	2.516107e-05	-9.562200e-09	-2.515150e-05	7.314122e-04	-6.055093e-23	7.314122e-04	-7.314122e-04
13            	1.495367e-03	7.181466e-04	7.772206e-04	5.907393e-05	2.953063e-05	2.954329e-05	-6.328765e-09	-2.953696e-05	7.476836e-04	-5.811384e-23	7.476836e-04	-7.476836e-04
14            	1.545516e-03	7.406761e-04	8.048400e-04	6.416391e-05	3.207766e-05	3.208625e-05	-4.299088e-09	-3.208196e-05	7.727580e-04	-5.573419e-23	7.727580e-04	-7.727580e-04
15            	1.602641e-03	7.682273e-04	8.344139e-04	6.618659e-05	3.309102e-05	3.309557e-05	-2.270016e-09	-3.309330e-05	8.013206e-04	-5.298033e-23	8.013206e-04	-8.013206e-04
16            	1.655737e-03	7.947771e-04	8.609602e-04	6.618316e-05	3.310720e-05	3.307597e-05	1.561454e-08	-3.309158e-05	8.278687e-04	-5.019830e-23	8.278687e-04	-8.278687e-04
17            	1.697094e-03	8.156068e-04	8.814870e-04	6.588021e-05	3.297364e-05	3.290657e-05	3.353730e-08	-3.294011e-05	8.485469e-04	-4.717536e-23	8.485469e-04	-8.485469e-04
18            	1.722036e-03	8.283372e-04	8.936993e-04	6.536208e-05	3.273437e-05	3.262771e-05	5.333107e-08	-3.268104e-05	8.610182e-04	-4.433125e-23	8.610182e-04	-8.610182e-04
19            	1.729863e-03	8.335320e-04	8.963312e-04	6.279923e-05	3.147104e-05	3.132819e-05	7.142486e-08	-3.139961e-05	8.649316e-04	-4.170701e-23	8.649316e-04	-8.649316e-04
20            	1.721911e-03	8.324873e-04	8.894240e-04	5.693664e-05	2.858156e-05	2.835507e-05	1.132452e-07	-2.846832e-05	8.609557e-04	-3.916101e-23	8.609557e-04	-8.609557e-04
21            	1.702569e-03	8.272337e-04	8.753353e-04	4.810161e-05	2.420542e-05	2.389620e-05	1.546099e-07	-2.405081e-05	8.512845e-04	-3.674941e-23	8.512845e-04	-8.512845e-04
22            	1.675946e-03	8.197170e-04	8.562289e-04	3.651195e-05	1.842923e-05	1.808272e-05	1.732541e-07	-1.825598e-05	8.379730e-04	-3.451861e-23	8.379730e-04	-8.379730e-04
23            	1.647081e-03	8.115017e-04	8.355796e-04	2.407785e-05	1.221739e-05	1.186046e-05	1.784665e-07	-1.203893e-05	8.235407e-04	-3.232758e-23	8.235407e-04	-8.235407e-04
24            	1.618909e-03	8.033637e-04	8.155455e-04	1.218184e-05	6.262750e-06	5.919085e-06	1.718326e-07	-6.090918e-06	8.094546e-04	-3.023421e-23	8.094546e-04	-8.094546e-04
25            	1.593946e-03	7.962871e-04	7.976593e-04	1.372149e-06	8.417340e-07	5.304153e-07	1.556593e-07	-6.860746e-07	7.969732e-04	-2.815013e-23	7.969732e-04	-7.969732e-04
26            	1.573706e-03	7.908918e-04	7.828143e-04	-8.077550e-06	-3.894686e-06	-4.182865e-06	1.440894e-07	4.038775e-06	7.868530e-04	-2.608580e-23	7.868530e-04	-7.868530e-04
27            	1.558451e-03	7.875549e-04	7.708961e-04	-1.665873e-05	-8.194149e-06	-8.464581e-06	1.352159e-07	8.329365e-06	7.792255e-04	-2.414302e-23	7.792255e-04	-7.792255e-04
28            	1.547996e-03	7.863112e-04	7.616846e-04	-2.462659e-05	-1.218658e-05	-1.244002e-05	1.267200e-07	1.231330e-05	7.739979e-04	-2.240572e-23	7.739979e-04	-7.739979e-04
29            	1.541592e-03	7.868553e-04	7.547363e-04	-3.211898e-05	-1.593900e-05	-1.617997e-05	1.204838e-07	1.605949e-05	7.707958e-04	-2.083849e-23	7.707958e-04	-7.707958e-04
30            	1.538229e-03	7.886333e-04	7.495957e-04	-3.903755e-05	-1.940157e-05	-1.963599e-05	1.172090e-07	1.951878e-05	7.691145e-04	-1.945817e-23	7.691145e-04	-7.691145e-04
31            	1.536631e-03	7.909969e-04	7.456344e-04	-4.536251e-05	-2.256599e-05	-2.279652e-05	1.152649e-07	2.268125e-05	7.683156e-04	-1.829962e-23	7.683156e-04	-7.683156e-04
32            	1.535361e-03	7.932436e-04	7.421176e-04	-5.112598e-05	-2.545318e-05	-2.567280e-05	1.098085e-07	2.556299e-05	7.676806e-04	-1.734424e-23	7.676806e-04	-7.676806e-04
33            	1.533080e-03	7.947584e-04	7.383216e-04	-5.643683e-05	-2.812109e-05	-2.831574e-05	9.732454e-08	2.821841e-05	7.665400e-04	-1.653755e-23	7.665400e-04	-7.665400e-04
34            	1.528836e-03	7.950487e-04	7.337877e-04	-6.126101e-05	-3.055096e-05	-3.071005e-05	7.954346e-08	3.063051e-05	7.644182e-04	-1.590573e-23	7.644182e-04	-7.644182e-04
35            	1.522243e-03	7.938817e-04	7.283615e-04	-6.552022e-05	-3.269844e-05	-3.282178e-05	6.167260e-08	3.276011e-05	7.611216e-04	-1.541632e-23	7.611216e-04	-7.611216e-04
36            	1.513510e-03	7.913182e-04	7.221921e-04	-6.912607e-05	-3.450893e-05	-3.461715e-05	5.410924e-08	3.456304e-05	7.567551e-04	-1.497399e-23	7.567551e-04	-7.567551e-04
37            	1.503301e-03	7.876502e-04	7.156509e-04	-7.199922e-05	-3.593979e-05	-3.605943e-05	5.981699e-08	3.599961e-05	7.516506e-04	-1.460445e-23	7.516506e-04	-7.516506e-04
38            	1.492534e-03	7.833633e-04	7.091709e-04	-7.419239e-05	-3.702692e-05	-3.716547e-05	6.927562e-08	3.709619e-05	7.462671e-04	-1.428612e-23	7.462671e-04	-7.462671e-04
39            	1.482111e-03	7.789171e-04	7.031943e-04	-7.572281e-05	-3.778488e-05	-3.793793e-05	7.652474e-08	3.786140e-05	7.410557e-04	-1.396193e-23	7.410557e-04	-7.410557e-04
40            	1.472721e-03	7.746709e-04	6.980506e-04	-7.662032e-05	-3.823134e-05	-3.838898e-05	7.881888e-08	3.831016e-05	7.363607e-04	-1.365714e-23	7.363607e-04	-7.363607e-04
41            	1.464611e-03	7.707535e-04	6.938576e-04	-7.689587e-05	-3.837187e-05	-3.852400e-05	7.606579e-08	3.844793e-05	7.323056e-04	-1.339000e-23	7.323056e-04	-7.323056e-04
42            	1.457661e-03	7.671201e-04	6.905406e-04	-7.657949e-05	-3.822127e-05	-3.835821e-05	6.846921e-08	3.828974e-05	7.288304e-04	-1.315317e-23	7.288304e-04	-7.288304e-04
43            	1.451423e-03	7.635620e-04	6.878611e-04	-7.570089e-05	-3.779284e-05	-3.790804e-05	5.760007e-08	3.785044e-05	7.257116e-04	-1.295338e-23	7.257116e-04	-7.257116e-04
44            	1.445303e-03	7.598054e-04	6.854979e-04	-7.430750e-05	-3.710823e-05	-3.719927e-05	4.551688e-08	3.715375e-05	7.226517e-04	-1.277168e-23	7.226517e-04	-7.226517e-04
45            	1.438808e-03	7.556249e-04	6.831833e-04	-7.244156e-05	-3.618686e-05	-3.625470e-05	3.391910e-08	3.622078e-05	7.194041e-04	-1.260911e-23	7.194041e-04	-7.194041e-04
46            	1.431626e-03	7.508788e-04	6.807471e-04	-7.013172e-05	-3.504076e-05	-3.509096e-05	2.510032e-08	3.506586e-05	7.158130e-04	-1.245638e-23	7.158130e-04	-7.158130e-04
47            	1.423710e-03	7.455533e-04	6.781567e-04	-6.739667e-05	-3.367789e-05	-3.371878e-05	2.044043e-08	3.369834e-05	7.118550e-04	-1.230098e-23	7.118550e-04	-7.118550e-04
48            	1.415312e-03	7.397755e-04	6.755363e-04	-6.423918e-05	-3.209991e-05	-3.213926e-05	1.967459e-08	3.211959e-05	7.076559e-04	-1.215200e-23	7.076559e-04	-7.076559e-04
49            	1.406813e-03	7.337380e-04	6.730753e-04	-6.066270e-05	-3.031042e-05	-3.035228e-05	2.092655e-08	3.033135e-05	7.034067e-04	-1.200698e-23	7.034067e-04	-7.034067e-04
50            	1.398629e-03	7.276474e-04	6.709821e-04	-5.666539e-05	-2.831065e-05	-2.835474e-05	2.204673e-08	2.833269e-05	6.993147e-04	-1.186216e-23	6.993147e-04	-6.993147e-04
51            	1.391084e-03	7.216737e-04	6.694106e-04	-5.226312e-05	-2.611012e-05	-2.615300e-05	2.143689e-08	2.613156e-05	6.955421e-04	-1.175787e-23	6.955421e-04	-6.955421e-04
52            	1.384305e-03	7.158835e-04	6.684219e-04	-4.746156e-05	-2.371272e-05	-2.374885e-05	1.806586e-08	2.373078e-05	6.921527e-04	-1.165557e-23	6.921527e-04	-6.921527e-04
53            	1.378186e-03	7.102382e-04	6.679479e-04	-4.229030e-05	-2.113314e-05	-2.115716e-05	1.201427e-08	2.114515e-05	6.890930e-04	-1.155724e-23	6.890930e-04	-6.890930e-04
54            	1.372468e-03	7.046162e-04	6.678516e-04	-3.676455e-05	-1.837841e-05	-1.838614e-05	3.861953e-09	1.838227e-05	6.862339e-04	-1.146195e-23	6.862339e-04	-6.862339e-04
55            	1.366801e-03	6.988643e-04	6.679370e-04	-3.092731e-05	-1.546940e-05	-1.545792e-05	-5.738357e-09	1.546366e-05	6.834006e-04	-1.136736e-23	6.834006e-04	-6.834006e-04
56            	1.360898e-03	6.928443e-04	6.680537e-04	-2.479060e-05	-1.241088e-05	-1.237972e-05	-1.557872e-08	1.239530e-05	6.804490e-04	-1.127603e-23	6.804490e-04	-6.804490e-04
57            	1.354603e-03	6.864982e-04	6.681044e-04	-1.839380e-05	-9.221188e-06	-9.172616e-06	-2.428621e-08	9.196902e-06	6.773013e-04	-1.117857e-23	6.773013e-04	-6.773013e-04
58            	1.347956e-03	6.798373e-04	6.681192e-04	-1.171816e-05	-5.889839e-06	-5.828320e-06	-3.075983e-08	5.859080e-06	6.739782e-04	-1.107599e-23	6.739782e-04	-6.739782e-04
59            	1.341147e-03	6.729622e-04	6.681847e-04	-4.777445e-06	-2.423460e-06	-2.353986e-06	-3.473688e-08	2.388723e-06	6.705734e-04	-1.095987e-23	6.705734e-04	-6.705734e-04
